,NormalPredictor,BaselineOnly,KNNBasic,KNNWithMeans,KNNWithZScore,KNNBaseline,SlopeOne,SVD (Seed: 0),SVD (Seed: 1),SVD (Seed: 42),SVDpp (Seed: 0),SVDpp (Seed: 1),SVDpp (Seed: 42),NMF (Seed: 0),NMF (Seed: 1),NMF (Seed: 42),CoClustering (Seed: 0),CoClustering (Seed: 1),CoClustering (Seed: 42)
MSE,9.7402/0.1098,5.0638/0.0625,5.8896/0.1354,5.5905/0.0625,5.6906/0.0607,5.1420/0.0811,5.6149/0.0723,5.1790/0.0596,5.1853/0.0421,5.1939/0.0492,5.4723/0.0813,5.4429/0.0657,5.4542/0.0385,12.0891/0.0984,12.1640/0.1848,12.1793/0.1043,5.9129/0.1081,5.8418/0.0553,5.8554/0.0834
RMSE,3.1209/0.0176,2.2503/0.0139,2.4267/0.0278,2.3644/0.0132,2.3855/0.0127,2.2675/0.0178,2.3695/0.0153,2.2757/0.0130,2.2771/0.0092,2.2790/0.0108,2.3392/0.0174,2.3330/0.0141,2.3354/0.0082,3.4769/0.0141,3.4876/0.0266,3.4899/0.0149,2.4316/0.0222,2.4170/0.0114,2.4197/0.0172
F1@15,0.7573/0.0088,0.7581/0.0087,0.7581/0.0087,0.7579/0.0088,0.7579/0.0088,0.7581/0.0087,0.7579/0.0087,0.7580/0.0088,0.7580/0.0087,0.7579/0.0087,0.7578/0.0088,0.7580/0.0088,0.7579/0.0088,0.7578/0.0088,0.7578/0.0088,0.7578/0.0088,0.7580/0.0087,0.7579/0.0087,0.7580/0.0088
HitRate@15,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099,0.8005/0.0099
MAP@15,0.7579/0.0093,0.7694/0.0082,0.7677/0.0096,0.7659/0.0095,0.7659/0.0096,0.7690/0.0088,0.7663/0.0091,0.7675/0.0079,0.7673/0.0079,0.7675/0.0077,0.7662/0.0084,0.7667/0.0077,0.7666/0.0082,0.7622/0.0086,0.7624/0.0093,0.7621/0.0098,0.7666/0.0092,0.7660/0.0087,0.7664/0.0090
MRR@15,0.7639/0.0093,0.7756/0.0079,0.7733/0.0094,0.7709/0.0095,0.7710/0.0100,0.7748/0.0086,0.7716/0.0093,0.7732/0.0078,0.7737/0.0087,0.7734/0.0077,0.7725/0.0079,0.7726/0.0079,0.7725/0.0083,0.7675/0.0083,0.7677/0.0097,0.7677/0.0100,0.7718/0.0096,0.7713/0.0090,0.7719/0.0095
NDCG@15,0.7710/0.0092,0.7792/0.0086,0.7780/0.0094,0.7767/0.0092,0.7767/0.0093,0.7788/0.0090,0.7768/0.0093,0.7778/0.0085,0.7777/0.0084,0.7777/0.0083,0.7769/0.0088,0.7773/0.0083,0.7772/0.0087,0.7740/0.0087,0.7741/0.0093,0.7740/0.0097,0.7771/0.0092,0.7767/0.0090,0.7771/0.0092
Precision@15,0.7308/0.0079,0.7317/0.0079,0.7317/0.0079,0.7314/0.0079,0.7315/0.0079,0.7317/0.0079,0.7315/0.0079,0.7316/0.0080,0.7315/0.0079,0.7315/0.0079,0.7314/0.0079,0.7315/0.0079,0.7315/0.0079,0.7314/0.0079,0.7314/0.0079,0.7313/0.0079,0.7315/0.0078,0.7314/0.0079,0.7315/0.0079
Recall@15,0.7859/0.0100,0.7865/0.0099,0.7865/0.0099,0.7863/0.0100,0.7863/0.0100,0.7865/0.0099,0.7863/0.0099,0.7864/0.0100,0.7864/0.0099,0.7863/0.0099,0.7863/0.0100,0.7864/0.0100,0.7864/0.0099,0.7862/0.0100,0.7862/0.0099,0.7862/0.0100,0.7864/0.0099,0.7863/0.0099,0.7864/0.0100
