,NormalPredictor,BaselineOnly,KNNBasic,KNNWithMeans,KNNWithZScore,KNNBaseline,SlopeOne,SVD (Seed: 0),SVD (Seed: 1),SVD (Seed: 42),SVDpp (Seed: 0),SVDpp (Seed: 1),SVDpp (Seed: 42),NMF (Seed: 0),NMF (Seed: 1),NMF (Seed: 42),CoClustering (Seed: 0),CoClustering (Seed: 1),CoClustering (Seed: 42)
MSE,3.5264/0.1738,1.7067/0.0620,1.6184/0.0847,1.7944/0.0918,1.7992/0.0798,1.5906/0.0766,1.8991/0.0823,1.6525/0.0720,1.6576/0.0688,1.6734/0.0465,1.6985/0.0473,1.7068/0.0778,1.7040/0.0538,2.0515/0.0903,1.9997/0.1331,2.0468/0.1165,2.1023/0.1181,2.0584/0.1002,2.0719/0.1103
RMSE,1.8774/0.0460,1.3062/0.0239,1.2718/0.0338,1.3392/0.0345,1.3411/0.0299,1.2609/0.0308,1.3778/0.0298,1.2852/0.0283,1.2872/0.0270,1.2935/0.0181,1.3032/0.0182,1.3062/0.0300,1.3052/0.0208,1.4320/0.0315,1.4135/0.0471,1.4302/0.0406,1.4495/0.0409,1.4344/0.0349,1.4390/0.0384
F1@5,0.6212/0.0255,0.6284/0.0231,0.6296/0.0238,0.6291/0.0240,0.6293/0.0239,0.6292/0.0236,0.6280/0.0236,0.6290/0.0228,0.6285/0.0240,0.6291/0.0223,0.6278/0.0234,0.6288/0.0233,0.6292/0.0231,0.6286/0.0232,0.6278/0.0239,0.6276/0.0227,0.6287/0.0232,0.6275/0.0233,0.6283/0.0236
HitRate@5,0.7712/0.0247,0.7717/0.0232,0.7717/0.0240,0.7712/0.0238,0.7712/0.0238,0.7712/0.0238,0.7717/0.0232,0.7717/0.0232,0.7712/0.0238,0.7717/0.0226,0.7712/0.0224,0.7717/0.0232,0.7722/0.0234,0.7717/0.0232,0.7717/0.0232,0.7717/0.0232,0.7717/0.0240,0.7722/0.0234,0.7722/0.0234
MAP@5,0.6270/0.0316,0.6948/0.0232,0.7015/0.0219,0.7023/0.0212,0.7036/0.0199,0.7028/0.0204,0.6937/0.0230,0.7000/0.0226,0.7011/0.0191,0.6970/0.0192,0.6948/0.0258,0.6980/0.0236,0.6926/0.0226,0.6906/0.0225,0.6859/0.0196,0.6939/0.0243,0.6826/0.0248,0.6852/0.0189,0.6865/0.0250
MRR@5,0.6363/0.0320,0.7060/0.0250,0.7099/0.0211,0.7099/0.0205,0.7116/0.0197,0.7119/0.0199,0.7035/0.0242,0.7103/0.0224,0.7101/0.0199,0.7079/0.0197,0.7039/0.0285,0.7074/0.0241,0.7011/0.0232,0.6987/0.0223,0.6963/0.0173,0.7046/0.0227,0.6915/0.0234,0.6954/0.0194,0.6975/0.0267
NDCG@5,0.6611/0.0306,0.7143/0.0239,0.7196/0.0231,0.7199/0.0226,0.7210/0.0217,0.7204/0.0220,0.7131/0.0242,0.7183/0.0233,0.7188/0.0213,0.7164/0.0201,0.7137/0.0265,0.7169/0.0241,0.7127/0.0232,0.7107/0.0234,0.7076/0.0213,0.7135/0.0239,0.7058/0.0243,0.7070/0.0208,0.7081/0.0261
Precision@5,0.5296/0.0241,0.5360/0.0222,0.5370/0.0225,0.5367/0.0227,0.5369/0.0227,0.5368/0.0223,0.5356/0.0224,0.5365/0.0219,0.5361/0.0227,0.5366/0.0216,0.5356/0.0226,0.5364/0.0222,0.5365/0.0219,0.5362/0.0222,0.5354/0.0229,0.5353/0.0218,0.5361/0.0221,0.5350/0.0225,0.5358/0.0225
Recall@5,0.7511/0.0274,0.7593/0.0247,0.7609/0.0258,0.7601/0.0260,0.7603/0.0258,0.7602/0.0256,0.7589/0.0253,0.7602/0.0245,0.7594/0.0260,0.7603/0.0231,0.7585/0.0246,0.7599/0.0251,0.7607/0.0250,0.7598/0.0249,0.7589/0.0255,0.7586/0.0242,0.7599/0.0249,0.7587/0.0246,0.7595/0.0256
