,mean,std
val/MSE,1.5182826519012451,0.13648784481487772
val/RMSE,1.2287977457046508,0.05709706631337664
val/F1@10,0.6390592455863953,0.010570643121688358
val/HitRate@10,0.7720032095909118,0.010948510130172435
val/MAP@10,0.740568470954895,0.01379302061214387
val/MRR@10,0.7480562567710877,0.012601795830215782
val/NDCG@10,0.7510271310806275,0.012719572885420099
val/Precision@10,0.5452585697174073,0.010290746679382262
val/Recall@10,0.7718654751777649,0.010949605281553703
